logicalName,suggestedDomain,suggestedCategory,matchedBy
ccp_subsidiebusinessprocesflow,SUBSIDIES,Custom,kw:subsid
ccp_synchronization,GENERAL,Custom,fallback
ccp_synchronizationfield,GENERAL,Custom,fallback
ccp_synchronizationrelation,GENERAL,Custom,fallback
ccp_tag,GENERAL,Custom,fallback
ccp_targetaudience,GENERAL,Custom,fallback
ccp_targetaudienceclimate,GENERAL,Custom,fallback
ccp_taskschedule,GENERAL,Custom,fallback
ccp_teamsapirequest,GENERAL,Custom,fallback
ccp_template,GENERAL,Custom,fallback
ccp_templatedefinition,GENERAL,Custom,fallback
ccp_terracearea,GENERAL,Custom,fallback
ccp_thumbnail,GENERAL,Custom,fallback
ccp_training,GENERAL,Custom,fallback
ccp_training_ccp_knowledgearea,GENERAL,Custom,fallback
ccp_trigger,GENERAL,Custom,fallback
ccp_typeofcontact,CCSP CONTACTPERSONEN,Custom,kw:contact
ccp_typeofeconomicactivity,GENERAL,Custom,fallback
ccp_typeofevent,EVENEMENTEN,Custom,kw:event
ccp_typeofintake,GENERAL,Custom,fallback
ccp_typeofpermit,INNAME OPENBAAR DOMEIN,Custom,kw:permit
ccp_typeofworkclimate,GENERAL,Custom,fallback
ccp_typeorganisatiewe,CCSP ORGANISATIES,Custom,kw:organisatie
ccp_typequestionclimate,GENERAL,Custom,fallback
ccp_typequestionclimate_ccp_information,GENERAL,Custom,fallback
ccp_typerecognition,GENERAL,Custom,fallback
ccp_uitvoeringbpf,GENERAL,Custom,fallback
ccp_utilitymeters,GENERAL,Custom,fallback
ccp_utilityusage,GENERAL,Custom,fallback
ccp_vergoeding_businessprocessflow,PROCESMANAGER,Custom,kw:process
ccp_vergunningbusinessprocessflow,PROCESMANAGER,Custom,kw:process
ccp_view,GENERAL,Custom,fallback
ccp_vormingbusinessprocessflow,PROCESMANAGER,Custom,kw:process
ccp_vote,GENERAL,Custom,fallback
ccp_votinground,GENERAL,Custom,fallback
ccp_workclimate,GENERAL,Custom,fallback
ccp_xrmtemplate,GENERAL,Custom,fallback
ccp_youreuropecategory,GENERAL,Custom,fallback
ccp_zelfdenaam,GENERAL,Custom,fallback
ccsp_accountclassification,CCSP ORGANISATIES,Custom,kw:account
ccsp_accounttype,CCSP ORGANISATIES,Custom,kw:account
ccsp_address,GENERAL,Custom,fallback
ccsp_administrativeunit,GENERAL,Custom,fallback
ccsp_ccsp_interest_contact,CCSP CONTACTPERSONEN,Custom,kw:contact
ccsp_cessationreason,GENERAL,Custom,fallback
ccsp_city,GENERAL,Custom,fallback
ccsp_country,GENERAL,Custom,fallback
ccsp_economicactivity,GENERAL,Custom,fallback
ccsp_functionofassociation,GENERAL,Custom,fallback
ccsp_geolocation,GENERAL,Custom,fallback
ccsp_interest,GENERAL,Custom,fallback
ccsp_language,GENERAL,Custom,fallback
ccsp_legalform,GENERAL,Custom,fallback
ccsp_legalincapacity,GENERAL,Custom,fallback
ccsp_legalstatus,GENERAL,Custom,fallback
ccsp_nacecode,GENERAL,Custom,fallback
ccsp_nobletitle,GENERAL,Custom,fallback
ccsp_organizationqualification,CCSP ORGANISATIES,Custom,kw:organization
ccsp_organizationqualificationphase,CCSP ORGANISATIES,Custom,kw:organization
ccsp_person,CCSP PERSONEN,Custom,kw:person
ccsp_postalcode,GENERAL,Custom,fallback
ccsp_role,GENERAL,Custom,fallback
ccsp_salutation,GENERAL,Custom,fallback
ccsp_source,GENERAL,Custom,fallback
ccsp_sourcestatus,GENERAL,Custom,fallback
ccsp_street,GENERAL,Custom,fallback
certificatecredential,GENERAL,Standard,fallback
channelaccessprofile,GENERAL,Standard,fallback
channelaccessprofileentityaccesslevel,GENERAL,Standard,fallback
channelaccessprofilerule,GENERAL,Standard,fallback
channelaccessprofileruleitem,GENERAL,Standard,fallback
channelproperty,GENERAL,Standard,fallback
channelpropertygroup,GENERAL,Standard,fallback
characteristic,GENERAL,Standard,fallback
chat,GENERAL,Standard,fallback
childincidentcount,MELDINGEN,Standard,kw:incident
clientupdate,GENERAL,Standard,fallback
columnmapping,GENERAL,Standard,fallback
comment,GENERAL,Standard,fallback
commitment,GENERAL,Standard,fallback
competitor,GENERAL,Standard,fallback
competitoraddress,GENERAL,Standard,fallback
competitorproduct,PRODUCTENCATALOGUS P30,Standard,kw:product
competitorsalesliterature,GENERAL,Standard,fallback
complexcontrol,GENERAL,Standard,fallback
componentversion,GENERAL,Standard,fallback
componentversiondatasource,GENERAL,Standard,fallback
componentversionnrddatasource,GENERAL,Standard,fallback
connection,GENERAL,Standard,fallback
connectioninstance,GENERAL,Standard,fallback
connectionreference,GENERAL,Standard,fallback
connectionrole,GENERAL,Standard,fallback
connectionroleassociation,GENERAL,Standard,fallback
connectionroleobjecttypecode,GENERAL,Standard,fallback
connector,GENERAL,Standard,fallback
constraintbasedgroup,GENERAL,Standard,fallback
contact,CCSP CONTACTPERSONEN,Standard,exact
contactinvoices,CCSP CONTACTPERSONEN,Standard,kw:contact
contactleads,CCSP CONTACTPERSONEN,Standard,kw:contact
contactorders,CCSP CONTACTPERSONEN,Standard,kw:contact
contactquotes,CCSP CONTACTPERSONEN,Standard,kw:contact
contract,CONTRACTEN,Standard,kw:contract
contractdetail,CONTRACTEN,Standard,kw:contract
contracttemplate,CONTRACTEN,Standard,kw:contract
conversationtranscript,GENERAL,Standard,fallback
convertrule,GENERAL,Standard,fallback
convertruleitem,GENERAL,Standard,fallback
copilotexamplequestion,GENERAL,Standard,fallback
copilotglossaryterm,GENERAL,Standard,fallback
copilotsynonyms,GENERAL,Standard,fallback
cr0f3_svc_digitalfile_svc_relatedactionmultip,GENERAL,Standard,fallback
credential,GENERAL,Standard,fallback
customapi,GENERAL,Standard,fallback
customapirequestparameter,GENERAL,Standard,fallback
customapiresponseproperty,GENERAL,Standard,fallback
customcontrol,GENERAL,Standard,fallback
customcontroldefaultconfig,GENERAL,Standard,fallback
customcontrolresource,GENERAL,Standard,fallback
customeraddress,GENERAL,Standard,fallback
customeropportunityrole,GENERAL,Standard,fallback
customerrelationship,GENERAL,Standard,fallback
datalakefolder,GENERAL,Standard,fallback
datalakefolderpermission,GENERAL,Standard,fallback
datalakeworkspace,GENERAL,Standard,fallback
datalakeworkspacepermission,GENERAL,Standard,fallback
dataperformance,FUNCTIONERING,Standard,kw:performance
dataprocessingconfiguration,PROCESMANAGER,Standard,kw:process
datasyncstate,GENERAL,Standard,fallback
delegatedauthorization,GENERAL,Standard,fallback
deleteditemreference,GENERAL,Standard,fallback
delveactionhub,GENERAL,Standard,fallback
dependency,GENERAL,Standard,fallback
dependencyfeature,GENERAL,Standard,fallback
dependencynode,GENERAL,Standard,fallback
deploymentorchestration,GENERAL,Standard,fallback
desktopflowbinary,GENERAL,Standard,fallback
desktopflowmodule,GENERAL,Standard,fallback
discount,GENERAL,Standard,fallback
discounttype,GENERAL,Standard,fallback
displaystring,GENERAL,Standard,fallback
displaystringmap,GENERAL,Standard,fallback
documentindex,GENERAL,Standard,fallback
documenttemplate,GENERAL,Standard,fallback
duplicaterecord,GENERAL,Standard,fallback
duplicaterule,GENERAL,Standard,fallback
duplicaterulecondition,GENERAL,Standard,fallback
dvfilesearch,GENERAL,Standard,fallback
dvfilesearchattribute,GENERAL,Standard,fallback
dvfilesearchentity,GENERAL,Standard,fallback
dvtablesearch,GENERAL,Standard,fallback
dvtablesearchattribute,GENERAL,Standard,fallback
dvtablesearchentity,GENERAL,Standard,fallback
dynamicproperty,GENERAL,Standard,fallback
dynamicpropertyassociation,GENERAL,Standard,fallback
dynamicpropertyinstance,GENERAL,Standard,fallback
dynamicpropertyoptionsetitem,GENERAL,Standard,fallback
elasticfileattachment,GENERAL,Standard,fallback
email,GENERAL,Standard,exact
emailaddressconfiguration,GENERAL,Standard,fallback
emailhash,GENERAL,Standard,fallback
emailsearch,GENERAL,Standard,fallback
emailserverprofile,GENERAL,Standard,fallback
emailsignature,GENERAL,Standard,fallback
enablearchivalrequest,GENERAL,Standard,fallback
entitlement,GENERAL,Standard,fallback
entitlementchannel,GENERAL,Standard,fallback
entitlementcontacts,CCSP CONTACTPERSONEN,Standard,kw:contact
entitlemententityallocationtypemapping,GENERAL,Standard,fallback
entitlementproducts,PRODUCTENCATALOGUS P30,Standard,kw:product
entitlementtemplate,GENERAL,Standard,fallback
entitlementtemplatechannel,GENERAL,Standard,fallback
entitlementtemplateproducts,PRODUCTENCATALOGUS P30,Standard,kw:product
entity,GENERAL,Standard,fallback
entityanalyticsconfig,GENERAL,Standard,fallback
entityclusterconfig,GENERAL,Standard,fallback
entitydataprovider,GENERAL,Standard,fallback
entitydatasource,GENERAL,Standard,fallback
entityimageconfig,GENERAL,Standard,fallback
entityindex,GENERAL,Standard,fallback
entitykey,GENERAL,Standard,fallback
entitymap,GENERAL,Standard,fallback
entityrecordfilter,GENERAL,Standard,fallback
entityrelationship,GENERAL,Standard,fallback
environmentvariabledefinition,GENERAL,Standard,fallback
environmentvariablevalue,GENERAL,Standard,fallback
equipment,GENERAL,Standard,fallback
eventexpanderbreadcrumb,EVENEMENTEN,Standard,kw:event
exchangesyncidmapping,GENERAL,Standard,fallback
expanderevent,EVENEMENTEN,Standard,kw:event
expiredprocess,PROCESMANAGER,Standard,kw:process
exportedexcel,GENERAL,Standard,fallback
exportsolutionupload,GENERAL,Standard,fallback
externalparty,GENERAL,Standard,fallback
externalpartyitem,GENERAL,Standard,fallback
fabricaiskill,GENERAL,Standard,fallback
fax,GENERAL,Standard,fallback
featurecontrolsetting,GENERAL,Standard,fallback
federatedknowledgecitation,GENERAL,Standard,fallback
federatedknowledgeconfiguration,GENERAL,Standard,fallback
federatedknowledgeentityconfiguration,GENERAL,Standard,fallback
federatedknowledgemetadatarefresh,GENERAL,Standard,fallback
feedback,GENERAL,Standard,fallback
fieldpermission,GENERAL,Standard,fallback
fieldsecurityprofile,GENERAL,Standard,fallback
fileattachment,GENERAL,Standard,fallback
filtertemplate,GENERAL,Standard,fallback
fixedmonthlyfiscalcalendar,GENERAL,Standard,fallback
flowaggregation,GENERAL,Standard,fallback
flowcapacityassignment,GENERAL,Standard,fallback
flowcredentialapplication,GENERAL,Standard,fallback
flowevent,EVENEMENTEN,Standard,kw:event
flowlog,GENERAL,Standard,fallback
flowmachine,GENERAL,Standard,fallback
flowmachinegroup,GENERAL,Standard,fallback
flowmachineimage,GENERAL,Standard,fallback
flowmachineimageversion,GENERAL,Standard,fallback
flowmachinenetwork,GENERAL,Standard,fallback
flowrun,GENERAL,Standard,fallback
flowsession,GENERAL,Standard,fallback
fxexpression,GENERAL,Standard,fallback
gitbranch,GENERAL,Standard,fallback
gitconfigurationretrievaldatasource,GENERAL,Standard,fallback
gitorganization,CCSP ORGANISATIES,Standard,kw:organization
gitproject,GENERAL,Standard,fallback
gitrepository,GENERAL,Standard,fallback
globalsearchconfiguration,GENERAL,Standard,fallback
goal,GENERAL,Standard,fallback
goalrollupquery,GENERAL,Standard,fallback
governanceconfiguration,GENERAL,Standard,fallback
hierarchyrule,GENERAL,Standard,fallback
hierarchysecurityconfiguration,GENERAL,Standard,fallback
holidaywrapper,GENERAL,Standard,fallback
imagedescriptor,GENERAL,Standard,fallback
import,GENERAL,Standard,fallback
importdata,GENERAL,Standard,fallback
importentitymapping,GENERAL,Standard,fallback
importfile,GENERAL,Standard,fallback
importjob,GENERAL,Standard,fallback
importlog,GENERAL,Standard,fallback
importmap,GENERAL,Standard,fallback
incident,BEHEER VAN ZAKEN EN DOSSIERS,Standard,exact
incidentknowledgebaserecord,MELDINGEN,Standard,kw:incident
incidentresolution,MELDINGEN,Standard,kw:incident
indexattributes,GENERAL,Standard,fallback
indexedtrait,GENERAL,Standard,fallback
integrationstatus,GENERAL,Standard,fallback
intelligentmemory,GENERAL,Standard,fallback
interactionforemail,GENERAL,Standard,fallback
internaladdress,GENERAL,Standard,fallback
internalcatalogassignment,PRODUCTENCATALOGUS P30,Standard,kw:catalog
interprocesslock,PROCESMANAGER,Standard,kw:process
invaliddependency,GENERAL,Standard,fallback
invoice,GENERAL,Standard,fallback
invoicedetail,GENERAL,Standard,fallback
isvconfig,GENERAL,Standard,fallback
kbarticle,GENERAL,Standard,fallback
kbarticlecomment,GENERAL,Standard,fallback
kbarticletemplate,GENERAL,Standard,fallback
keyvaultreference,GENERAL,Standard,fallback
knowledgearticle,GENERAL,Standard,fallback
knowledgearticleincident,MELDINGEN,Standard,kw:incident
knowledgearticlescategories,GENERAL,Standard,fallback
knowledgearticleviews,GENERAL,Standard,fallback
knowledgebaserecord,GENERAL,Standard,fallback
knowledgefaq,GENERAL,Standard,fallback
knowledgesearchmodel,GENERAL,Standard,fallback
languagelocale,GENERAL,Standard,fallback
languageprovisioningstate,GENERAL,Standard,fallback
lb_associationregisterrole,GENERAL,Custom,fallback
lb_lbrelease,GENERAL,Custom,fallback
lb_lbreleasedata,GENERAL,Custom,fallback
lb_lbreleasedeveloper,GENERAL,Custom,fallback
lb_lbreleasemodule,GENERAL,Custom,fallback
lb_lbreleasenote,GENERAL,Custom,fallback
lb_mappingtable,GENERAL,Custom,fallback
lb_meetingattendance,VERGADERBEHEER,Custom,kw:meeting
lead,GENERAL,Standard,exact
leadaddress,GENERAL,Standard,fallback
leadcompetitors,GENERAL,Standard,fallback
leadproduct,PRODUCTENCATALOGUS P30,Standard,kw:product
leadtoopportunitysalesprocess,PROCESMANAGER,Standard,kw:process
letter,GENERAL,Standard,fallback
li_inmail,GENERAL,Standard,fallback
li_message,GENERAL,Standard,fallback
li_pointdrivepresentationviewed,GENERAL,Standard,fallback
license,GENERAL,Standard,fallback
list,GENERAL,Standard,fallback
listmember,GENERAL,Standard,fallback
listoperation,GENERAL,Standard,fallback
localconfigstore,GENERAL,Standard,fallback
lookupmapping,GENERAL,Standard,fallback
mailbox,GENERAL,Standard,fallback
mailboxstatistics,GENERAL,Standard,fallback
mailboxtrackingcategory,GENERAL,Standard,fallback
mailboxtrackingfolder,GENERAL,Standard,fallback
mailmergetemplate,GENERAL,Standard,fallback
mainfewshot,GENERAL,Standard,fallback
makerfewshot,GENERAL,Standard,fallback
managedidentity,GENERAL,Standard,fallback
managedproperty,GENERAL,Standard,fallback
marketingformdisplayattributes,GENERAL,Standard,fallback
maskingrule,GENERAL,Standard,fallback
mbs_pluginprofile,GENERAL,Standard,fallback
metadatadifference,GENERAL,Standard,fallback
metadataforarchival,GENERAL,Standard,fallback
metric,GENERAL,Standard,fallback
mobileofflineprofile,GENERAL,Standard,fallback
mobileofflineprofileextension,GENERAL,Standard,fallback
mobileofflineprofileitem,GENERAL,Standard,fallback
mobileofflineprofileitemassociation,GENERAL,Standard,fallback
mobileofflineprofileitemfilter,GENERAL,Standard,fallback
monthlyfiscalcalendar,GENERAL,Standard,fallback
msdyn_accountkpiitem,CCSP ORGANISATIES,Custom,kw:account
msdyn_accountresearchagenttrigger,CCSP ORGANISATIES,Custom,kw:account
msdyn_accountresearchresult,CCSP ORGANISATIES,Custom,kw:account
msdyn_actioncardactionstat,GENERAL,Custom,fallback
msdyn_actioncardregarding,GENERAL,Custom,fallback
msdyn_actioncardrolesetting,GENERAL,Custom,fallback
msdyn_actioncardstataggregation,GENERAL,Custom,fallback
msdyn_activeicdextension,GENERAL,Custom,fallback
msdyn_activityanalysiscleanupstate,GENERAL,Custom,fallback
msdyn_activityanalysisconfig,GENERAL,Custom,fallback
msdyn_activitymapping,GENERAL,Custom,fallback
msdyn_adaptivecardconfiguration,GENERAL,Custom,fallback
msdyn_adjustmenthistory,GENERAL,Custom,fallback
msdyn_adminappstate,GENERAL,Custom,fallback
msdyn_agentcapacityprofileunit,GENERAL,Custom,fallback
msdyn_agentcapacityupdatehistory,GENERAL,Custom,fallback
msdyn_agentchannelstate,GENERAL,Custom,fallback
msdyn_agentconfiguration,GENERAL,Custom,fallback
msdyn_agentcopilotsetting,GENERAL,Custom,fallback
msdyn_agentgroup,GENERAL,Custom,fallback
msdyn_agentgrouplanguage,GENERAL,Custom,fallback
msdyn_agentgroupmatchingcriteria,GENERAL,Custom,fallback
msdyn_agentgroupmembership,GENERAL,Custom,fallback
msdyn_agentgroupregion,GENERAL,Custom,fallback
msdyn_agentlanguage,GENERAL,Custom,fallback
msdyn_agentmatchingcriteria,GENERAL,Custom,fallback
msdyn_agentregion,GENERAL,Custom,fallback
msdyn_agentresourceforecasting,GENERAL,Custom,fallback
msdyn_agentsetting,GENERAL,Custom,fallback
msdyn_agentstatus,GENERAL,Custom,fallback
msdyn_agentstatushistory,GENERAL,Custom,fallback
msdyn_ai_casetopic,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_ai_casetopic_incident,MELDINGEN,Custom,kw:incident
msdyn_ai_casetopicclustersnapshot,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_aiagentstatus,GENERAL,Custom,fallback
msdyn_aibdataset,GENERAL,Custom,fallback
msdyn_aibdatasetfile,GENERAL,Custom,fallback
msdyn_aibdatasetrecord,GENERAL,Custom,fallback
msdyn_aibdatasetscontainer,GENERAL,Custom,fallback
msdyn_aibfeedbackloop,GENERAL,Custom,fallback
msdyn_aibfile,GENERAL,Custom,fallback
msdyn_aibfileattacheddata,GENERAL,Custom,fallback
msdyn_aiconfiguration,GENERAL,Custom,fallback
msdyn_aiconfiguration_documenttemplate,GENERAL,Custom,fallback
msdyn_aicontactsuggestion,CCSP CONTACTPERSONEN,Custom,kw:contact
msdyn_aidataprocessingevent,EVENEMENTEN,Custom,kw:event
msdyn_aidocumenttemplate,GENERAL,Custom,fallback
msdyn_aievaluationconfiguration,FUNCTIONERING,Custom,kw:evaluation
msdyn_aievaluationrun,FUNCTIONERING,Custom,kw:evaluation
msdyn_aievent,EVENEMENTEN,Custom,kw:event
msdyn_aifptrainingdocument,GENERAL,Custom,fallback
msdyn_aimodel,GENERAL,Custom,fallback
msdyn_aimodelcatalog,PRODUCTENCATALOGUS P30,Custom,kw:catalog
msdyn_aiodimage,INNAME OPENBAAR DOMEIN,Custom,kw:iod
msdyn_aiodlabel,INNAME OPENBAAR DOMEIN,Custom,kw:iod
msdyn_aiodlabel_msdyn_aiconfiguration,INNAME OPENBAAR DOMEIN,Custom,kw:iod
msdyn_aiodtrainingboundingbox,INNAME OPENBAAR DOMEIN,Custom,kw:iod
msdyn_aiodtrainingimage,INNAME OPENBAAR DOMEIN,Custom,kw:iod
msdyn_aitemplate,GENERAL,Custom,fallback
msdyn_aitestcase,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_aitestcasedocument,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_aitestcaseinput,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_aitestrun,GENERAL,Custom,fallback
msdyn_aitestrunbatch,GENERAL,Custom,fallback
msdyn_analysiscomponent,GENERAL,Custom,fallback
msdyn_analysisjob,GENERAL,Custom,fallback
msdyn_analysisoverride,GENERAL,Custom,fallback
msdyn_analysisresult,GENERAL,Custom,fallback
msdyn_analysisresultdetail,GENERAL,Custom,fallback
msdyn_analytics,GENERAL,Custom,fallback
msdyn_analyticsadminsettings,GENERAL,Custom,fallback
msdyn_analyticsforcs,GENERAL,Custom,fallback
msdyn_appconfig_msdyn_channelprovider,GENERAL,Custom,fallback
msdyn_appconfiguration,GENERAL,Custom,fallback
msdyn_appconfiguration_applicationextension,GENERAL,Custom,fallback
msdyn_appconfiguration_sessiontemplate,GENERAL,Custom,fallback
msdyn_appconfiguration_systemuser,GENERAL,Custom,fallback
msdyn_appcopilotconfiguration,GENERAL,Custom,fallback
msdyn_appinsightsmetadata,GENERAL,Custom,fallback
msdyn_applicationextension,GENERAL,Custom,fallback
msdyn_applicationtabtemplate,GENERAL,Custom,fallback
msdyn_appprofilerolemapping,GENERAL,Custom,fallback
msdyn_appstate,GENERAL,Custom,fallback
msdyn_assetcategorytemplateassociation,GENERAL,Custom,fallback
msdyn_assettemplateassociation,GENERAL,Custom,fallback
msdyn_assignmentconfiguration,GENERAL,Custom,fallback
msdyn_assignmentconfigurationstep,GENERAL,Custom,fallback
msdyn_assignmentmap,GENERAL,Custom,fallback
msdyn_assignmentrule,GENERAL,Custom,fallback
msdyn_attribute,GENERAL,Custom,fallback
msdyn_attributeinfluencestatistics,GENERAL,Custom,fallback
msdyn_attributevalue,GENERAL,Custom,fallback
msdyn_authenticationsettings,GENERAL,Custom,fallback
msdyn_authsettingsentry,GENERAL,Custom,fallback
msdyn_autocapturerule,GENERAL,Custom,fallback
msdyn_autocapturesettings,GENERAL,Custom,fallback
msdyn_autocaseclosureagentactivity,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_autocaseclosureagentmonitoring,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_autonomousagentmapping,GENERAL,Custom,fallback
msdyn_autonomouscasecreationrule,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_autonomousprofile,GENERAL,Custom,fallback
msdyn_bookableresourcecapacityprofile,GENERAL,Custom,fallback
msdyn_botsession,GENERAL,Custom,fallback
msdyn_botusermapping,GENERAL,Custom,fallback
msdyn_businessprofile,GENERAL,Custom,fallback
msdyn_callablecontext,GENERAL,Custom,fallback
msdyn_callablecontext_msdyn_playbooktemplate,GENERAL,Custom,fallback
msdyn_cannedmessage,GENERAL,Custom,fallback
msdyn_capacityprofile,GENERAL,Custom,fallback
msdyn_caseaiprediction,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_caseenrichment,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_casefollowupandclosureconfiguration,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_casesentimentsetting,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_casesuggestion,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_casesuggestionrequestpayload,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_casesuggestionsdatasource,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_casetopic,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_casetopic_incident,MELDINGEN,Custom,kw:incident
msdyn_casetopicsetting,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_casetopicsummary,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_cdsentityengagementctx,GENERAL,Custom,fallback
msdyn_channelcapability,GENERAL,Custom,fallback
msdyn_channeldefinition,GENERAL,Custom,fallback
msdyn_channeldefinitionconsent,GENERAL,Custom,fallback
msdyn_channeldefinitionlocale,GENERAL,Custom,fallback
msdyn_channelinstance,GENERAL,Custom,fallback
msdyn_channelinstanceaccount,CCSP ORGANISATIES,Custom,kw:account
msdyn_channelmessageattachment,GENERAL,Custom,fallback
msdyn_channelmessagecontextpart,GENERAL,Custom,fallback
msdyn_channelmessagepart,GENERAL,Custom,fallback
msdyn_channelprovider,GENERAL,Custom,fallback
msdyn_chtprofileconfiguration,GENERAL,Custom,fallback
msdyn_ciprovider,GENERAL,Custom,fallback
msdyn_ciprovider_systemuser,GENERAL,Custom,fallback
msdyn_collabgraphresource,GENERAL,Custom,fallback
msdyn_collabspaceteamassociation,GENERAL,Custom,fallback
msdyn_competitorresearchagenttrigger,GENERAL,Custom,fallback
msdyn_componentlayer,GENERAL,Custom,fallback
msdyn_componentlayerdatasource,GENERAL,Custom,fallback
msdyn_connectordatasource,GENERAL,Custom,fallback
msdyn_connectordatasource_environmentva,GENERAL,Custom,fallback
msdyn_consoleapplicationnotificationfield,GENERAL,Custom,fallback
msdyn_consoleapplicationnotificationtemplate,GENERAL,Custom,fallback
msdyn_consoleapplicationsessiontemplate,GENERAL,Custom,fallback
msdyn_consoleapplicationtemplate,GENERAL,Custom,fallback
msdyn_consoleapplicationtemplateparameter,GENERAL,Custom,fallback
msdyn_consoleapplicationtype,GENERAL,Custom,fallback
msdyn_consoleappparameterdefinition,GENERAL,Custom,fallback
msdyn_consumingapplication,GENERAL,Custom,fallback
msdyn_contactkpiitem,CCSP CONTACTPERSONEN,Custom,kw:contact
msdyn_contactsuggestionrule,CCSP CONTACTPERSONEN,Custom,kw:contact
msdyn_contactsuggestionruleset,CCSP CONTACTPERSONEN,Custom,kw:contact
msdyn_conversationaction,GENERAL,Custom,fallback
msdyn_conversationactionitem,GENERAL,Custom,fallback
msdyn_conversationactionlocale,GENERAL,Custom,fallback
msdyn_conversationaggregatedinsights,GENERAL,Custom,fallback
msdyn_conversationcomment,GENERAL,Custom,fallback
msdyn_conversationdata,GENERAL,Custom,fallback
msdyn_conversationdispositioncodemap,GENERAL,Custom,fallback
msdyn_conversationinsight,GENERAL,Custom,fallback
msdyn_conversationmessageblock,GENERAL,Custom,fallback
msdyn_conversationparticipantinsights,GENERAL,Custom,fallback
msdyn_conversationparticipantsentiment,GENERAL,Custom,fallback
msdyn_conversationquestion,GENERAL,Custom,fallback
msdyn_conversationsegmentsentiment,GENERAL,Custom,fallback
msdyn_conversationsentiment,GENERAL,Custom,fallback
msdyn_conversationsignal,GENERAL,Custom,fallback
msdyn_conversationsubject,GENERAL,Custom,fallback
msdyn_conversationsuggestionrequestpayload,GENERAL,Custom,fallback
msdyn_conversationsummaryinteraction,GENERAL,Custom,fallback
msdyn_conversationsummarysetting,GENERAL,Custom,fallback
msdyn_conversationsummarysuggestion,GENERAL,Custom,fallback
msdyn_conversationsystemtag,GENERAL,Custom,fallback
msdyn_conversationtag,GENERAL,Custom,fallback
msdyn_conversationtopic,GENERAL,Custom,fallback
msdyn_conversationtopic_conversation,GENERAL,Custom,fallback
msdyn_conversationtopicsetting,GENERAL,Custom,fallback
msdyn_conversationtopicsummary,GENERAL,Custom,fallback
msdyn_convertrule_queue_association,GENERAL,Custom,fallback
msdyn_copilotagentpreference,GENERAL,Custom,fallback
msdyn_copilotcaseformfillsetting,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
msdyn_copilotevent,EVENEMENTEN,Custom,kw:event
msdyn_copilotinteraction,GENERAL,Custom,fallback
msdyn_copilotinteractiondata,GENERAL,Custom,fallback
msdyn_copilotinteractions,GENERAL,Custom,fallback
msdyn_copilotknowledgeinteraction,GENERAL,Custom,fallback
msdyn_copilotsummarizationsetting,GENERAL,Custom,fallback
msdyn_copilottranscript,GENERAL,Custom,fallback
msdyn_copilottranscriptdata,GENERAL,Custom,fallback
msdyn_crmconnection,GENERAL,Custom,fallback
msdyn_csadminconfig,GENERAL,Custom,fallback
msdyn_cskeyvalueconfig,GENERAL,Custom,fallback
msdyn_customapirulesetconfiguration,GENERAL,Custom,fallback
msdyn_customcontrolextendedsettings,GENERAL,Custom,fallback
msdyn_customerasset,GENERAL,Custom,fallback
msdyn_customerassetattachment,GENERAL,Custom,fallback
msdyn_customerassetcategory,GENERAL,Custom,fallback
msdyn_customeremailcommunication,GENERAL,Custom,fallback
msdyn_customerfeedbacksurvey,GENERAL,Custom,fallback
msdyn_customerfeedbacksurveyinvite,GENERAL,Custom,fallback
msdyn_customerfeedbacksurveyresponse,GENERAL,Custom,fallback
msdyn_dailyaccountkpiitem,CCSP ORGANISATIES,Custom,kw:account
msdyn_dailycontactkpiitem,CCSP CONTACTPERSONEN,Custom,kw:contact
msdyn_dailyleadkpiitem,GENERAL,Custom,fallback
msdyn_dailyopportunitykpiitem,GENERAL,Custom,fallback
msdyn_dataanalyticscustomizedreport,GENERAL,Custom,fallback
msdyn_dataanalyticsdataset,GENERAL,Custom,fallback
msdyn_dataanalyticsreport,GENERAL,Custom,fallback
msdyn_dataanalyticsreport_copilot,GENERAL,Custom,fallback
