logicalName,suggestedDomain,suggestedCategory,matchedBy
adx_webtemplate,WEBCONTENT,Standard,kw:web
aicopilot,GENERAL,Standard,fallback
aicopilot_aiplugin,GENERAL,Standard,fallback
aiinsightcard,GENERAL,Standard,fallback
aiplugin,GENERAL,Standard,fallback
aipluginauth,GENERAL,Standard,fallback
aipluginconversationstarter,GENERAL,Standard,fallback
aipluginconversationstartermapping,GENERAL,Standard,fallback
aipluginexternalschema,GENERAL,Standard,fallback
aipluginexternalschemaproperty,GENERAL,Standard,fallback
aiplugingovernance,GENERAL,Standard,fallback
aiplugingovernanceext,GENERAL,Standard,fallback
aiplugininstance,GENERAL,Standard,fallback
aipluginoperation,GENERAL,Standard,fallback
aipluginoperationparameter,GENERAL,Standard,fallback
aipluginoperationresponsetemplate,GENERAL,Standard,fallback
aiplugintitle,GENERAL,Standard,fallback
aipluginusersetting,GENERAL,Standard,fallback
aiskillconfig,GENERAL,Standard,fallback
annotation,GENERAL,Standard,fallback
annualfiscalcalendar,GENERAL,Standard,fallback
apisettings,GENERAL,Standard,fallback
appaction,GENERAL,Standard,fallback
appaction_appactionrule_classicrules,GENERAL,Standard,fallback
appactionmigration,GENERAL,Standard,fallback
appactionrule,GENERAL,Standard,fallback
appactionrule_webresource_scripts,WEBCONTENT,Standard,kw:web
appconfig,GENERAL,Standard,fallback
appconfiginstance,GENERAL,Standard,fallback
appconfigmaster,GENERAL,Standard,fallback
appelement,GENERAL,Standard,fallback
appentitysearchview,GENERAL,Standard,fallback
application,GENERAL,Standard,fallback
applicationfile,GENERAL,Standard,fallback
applicationroles,GENERAL,Standard,fallback
applicationuser,GENERAL,Standard,fallback
applicationuserprofile,GENERAL,Standard,fallback
applicationuserrole,GENERAL,Standard,fallback
appmodule,GENERAL,Standard,fallback
appmodulecomponent,GENERAL,Standard,fallback
appmodulecomponentedge,GENERAL,Standard,fallback
appmodulecomponentnode,GENERAL,Standard,fallback
appmodulemetadata,GENERAL,Standard,fallback
appmodulemetadatadependency,GENERAL,Standard,fallback
appmodulemetadataoperationlog,GENERAL,Standard,fallback
appmoduleroles,GENERAL,Standard,fallback
appnotification,GENERAL,Standard,fallback
appointment,VERGADERBEHEER,Standard,exact
approvalprocess,PROCESMANAGER,Standard,kw:process
approvalstageapproval,PROCESMANAGER,Standard,kw:stage
approvalstagecondition,PROCESMANAGER,Standard,kw:stage
approvalstageintelligent,PROCESMANAGER,Standard,kw:stage
approvalstageorder,PROCESMANAGER,Standard,kw:stage
appsetting,GENERAL,Standard,fallback
appusersetting,GENERAL,Standard,fallback
archivecleanupinfo,GENERAL,Standard,fallback
archivecleanupoperation,GENERAL,Standard,fallback
asyncoperation,GENERAL,Standard,fallback
attachment,GENERAL,Standard,fallback
attribute,GENERAL,Standard,fallback
attributeclusterconfig,GENERAL,Standard,fallback
attributeimageconfig,GENERAL,Standard,fallback
attributemap,GENERAL,Standard,fallback
attributemaskingrule,GENERAL,Standard,fallback
attributepicklistvalue,GENERAL,Standard,fallback
audit,GENERAL,Standard,fallback
authorizationserver,GENERAL,Standard,fallback
availabletimes,GENERAL,Standard,fallback
availabletimesdatasource,GENERAL,Standard,fallback
azureserviceconnection,GENERAL,Standard,fallback
backgroundoperation,GENERAL,Standard,fallback
bookableresource,GENERAL,Standard,fallback
bookableresourcebooking,GENERAL,Standard,fallback
bookableresourcebookingexchangesyncidmapping,GENERAL,Standard,fallback
bookableresourcebookingheader,GENERAL,Standard,fallback
bookableresourcecategory,GENERAL,Standard,fallback
bookableresourcecategoryassn,GENERAL,Standard,fallback
bookableresourcecharacteristic,GENERAL,Standard,fallback
bookableresourcegroup,GENERAL,Standard,fallback
bookingstatus,GENERAL,Standard,fallback
bot,GENERAL,Standard,fallback
bot_botcomponent,GENERAL,Standard,fallback
bot_botcomponentcollection,GENERAL,Standard,fallback
bot_botcontentpack,WEBCONTENT,Standard,kw:content
bot_environmentvariabledefinition,GENERAL,Standard,fallback
botcomponent,GENERAL,Standard,fallback
botcomponent_aipluginoperation,GENERAL,Standard,fallback
botcomponent_botcomponent,GENERAL,Standard,fallback
botcomponent_connectionreference,GENERAL,Standard,fallback
botcomponent_dvtablesearch,GENERAL,Standard,fallback
botcomponent_environmentvariabledefinition,GENERAL,Standard,fallback
botcomponent_msdyn_aimodel,GENERAL,Standard,fallback
botcomponent_workflow,PROCESMANAGER,Standard,kw:workflow
botcomponentcollection,GENERAL,Standard,fallback
botcontentpack,WEBCONTENT,Standard,kw:content
bulkarchiveconfig,GENERAL,Standard,fallback
bulkarchivefailuredetail,GENERAL,Standard,fallback
bulkarchiveoperation,GENERAL,Standard,fallback
bulkarchiveoperationdetail,GENERAL,Standard,fallback
bulkdeletefailure,GENERAL,Standard,fallback
bulkdeleteoperation,GENERAL,Standard,fallback
bulkoperation,GENERAL,Standard,fallback
bulkoperationlog,GENERAL,Standard,fallback
businessdatalocalizedlabel,GENERAL,Standard,fallback
businessprocess,PROCESMANAGER,Standard,kw:process
businessprocessflowinstance,PROCESMANAGER,Standard,kw:process
businessunit,GENERAL,Standard,exact
businessunitmap,CCSP ORGANISATIES,Standard,kw:businessunit
businessunitnewsarticle,CCSP ORGANISATIES,Standard,kw:businessunit
calendar,GENERAL,Standard,fallback
calendarrule,GENERAL,Standard,fallback
callbackregistration,GENERAL,Standard,fallback
campaign,GENERAL,Standard,fallback
campaignactivity,GENERAL,Standard,fallback
campaignactivityitem,GENERAL,Standard,fallback
campaignitem,GENERAL,Standard,fallback
campaignresponse,GENERAL,Standard,fallback
canvasapp,GENERAL,Standard,fallback
canvasappextendedmetadata,GENERAL,Standard,fallback
card,GENERAL,Standard,fallback
cardentityconnections,GENERAL,Standard,fallback
cardstateitem,GENERAL,Standard,fallback
cardtype,GENERAL,Standard,fallback
cascadegrantrevokeaccessrecordstracker,SUBSIDIES,Standard,kw:grant
cascadegrantrevokeaccessversiontracker,SUBSIDIES,Standard,kw:grant
catalog,PRODUCTENCATALOGUS P30,Standard,kw:catalog
catalogassignment,PRODUCTENCATALOGUS P30,Standard,kw:catalog
category,GENERAL,Standard,fallback
ccp_aangiftebusinessprocessflow,PROCESMANAGER,Custom,kw:process
